Feature,Importance
Monthly Income,0.08576826786518714
Age,0.07636341879822485
OverTime,0.0715587670699906
Total Working Years,0.067281585297662
Years At Company,0.05832961777928876
Stock Option Level,0.0495368140435572
Years With Curr Manager,0.049226540579576046
DailyRate,0.0438446639192367
Num Companies Worked,0.04108830867268038
Hourly Rate,0.03841619705248265
Distance From Home,0.03763495910397302
JobRole,0.03708544917383571
Monthly Rate,0.03488445973479046
Years In CurrentRole,0.03443458868964603
Job Level,0.03079735679371993
Environment Satisfaction,0.02974994879048224
Job Satisfaction,0.027113744924741542
Percent Salary Hike,0.026513636464683573
Marital Status,0.026321789977178725
Years Since Last Promotion,0.019197423590217765
Relationship Satisfaction,0.018980342899319602
Work Life Balance,0.015054599284135965
Department,0.01378375084544321
Education Field,0.012638891766074412
Training Times LastYear,0.012535082760415291
Job Involvement,0.011954389006760999
Education,0.01154160088312121
BusinessTravel,0.009071204371521835
Gender,0.007691737376363919
Performance Rating,0.0016008624856882312
